id,event_Timestamp,device_type,session_id,visitor_id,item_id,redirection_source
29839,2020-11-15T15:11:00.000+05:30,android,B000078,I7099,B17543,google
30504,2020-11-15T15:27:00.000+05:30,android,B000078,I7099,B19304,linkedin
30334,2020-11-15T15:23:00.000+05:30,android,B000078,I7099,B29093,youtube
30385,2020-11-15T15:24:00.000+05:30,android,B000078,I7099,D8142,google
30503,2020-11-15T15:27:00.000+05:30,android,B000078,I7099,D8142,facebook
30663,2020-11-15T15:30:00.000+05:30,android,B000078,I7099,D8142,youtube
30702,2020-11-15T15:30:00.000+05:30,android,B000078,I7099,D8142,linkedin
30284,2020-11-15T15:21:00.000+05:30,android,B000078,I7099,E9001,linkedin
30325,2020-11-15T15:22:00.000+05:30,android,B000078,I7099,E9001,youtube
30240,2020-11-15T15:20:00.000+05:30,android,B000078,I7099,J1317,google
13931,2020-11-15T09:07:00.000+05:30,android,B000092,C2146,H6156,facebook
42214,2020-11-15T19:35:00.000+05:30,android,B000138,E2296,B04035,google
42316,2020-11-15T19:36:00.000+05:30,android,B000138,E2296,B04035,youtube
42990,2020-11-15T19:46:00.000+05:30,android,B000138,E2296,B04035,youtube
43005,2020-11-15T19:46:00.000+05:30,android,B000138,E2296,B04035,google
43273,2020-11-15T19:51:00.000+05:30,android,B000138,E2296,B04035,youtube
43185,2020-11-15T19:49:00.000+05:30,android,B000138,E2296,B907,youtube
23344,2020-11-15T12:21:00.000+05:30,android,B000227,B4178,I4026,youtube
27947,2020-11-15T14:25:00.000+05:30,android,B000271,I9120,E9856,youtube
41726,2020-11-15T19:27:00.000+05:30,android,B000283,F079,B04035,facebook
41723,2020-11-15T19:27:00.000+05:30,android,B000283,F079,B13763,google
35508,2020-11-15T17:18:00.000+05:30,android,B0003,H7774,I3311,facebook
34986,2020-11-15T17:07:00.000+05:30,android,B0003,H7774,I860,linkedin
29817,2020-11-15T15:11:00.000+05:30,android,B000430,G0191,B1986,google
29890,2020-11-15T15:12:00.000+05:30,android,B000430,G0191,B21210,google
29770,2020-11-15T15:10:00.000+05:30,android,B000430,G0191,B7412,youtube
29931,2020-11-15T15:13:00.000+05:30,android,B000430,G0191,B7412,google
29994,2020-11-15T15:14:00.000+05:30,android,B000430,G0191,J6911,google
24479,2020-11-15T12:54:00.000+05:30,android,B000450,F1681,E2809,facebook
33203,2020-11-15T16:24:00.000+05:30,android,B000467,G0923,E7455,facebook
45030,2020-11-15T20:25:00.000+05:30,android,B000469,H6810,B18262,google
23786,2020-11-15T12:33:00.000+05:30,android,B000516,I2161,B03502,youtube
34174,2020-11-15T16:47:00.000+05:30,android,B000669,F8535,B76,facebook
35013,2020-11-15T17:07:00.000+05:30,android,B000669,F8535,F2518,facebook
34852,2020-11-15T17:03:00.000+05:30,android,B000669,F8535,H7113,google
47303,2020-11-15T20:59:00.000+05:30,android,B000685,E0679,C121,facebook
39932,2020-11-15T18:53:00.000+05:30,android,B000752,I2829,H1406,youtube
39835,2020-11-15T18:51:00.000+05:30,android,B000752,I2829,I9921,google
15970,2020-11-15T09:47:00.000+05:30,android,B000796,G5319,B02637,linkedin
20282,2020-11-15T11:10:00.000+05:30,android,B000844,J862,C1137,youtube
28446,2020-11-15T14:39:00.000+05:30,android,B000847,F5021,B17580,google
28428,2020-11-15T14:39:00.000+05:30,android,B000847,F5021,G0796,google
28437,2020-11-15T14:39:00.000+05:30,android,B000847,F5021,G0796,youtube
28427,2020-11-15T14:39:00.000+05:30,android,B000847,F5021,G4835,linkedin
28431,2020-11-15T14:39:00.000+05:30,android,B000847,F5021,G4835,youtube
29139,2020-11-15T14:55:00.000+05:30,android,B000847,F5021,H6404,linkedin
29223,2020-11-15T14:56:00.000+05:30,android,B00099,B7690,B20608,youtube
29224,2020-11-15T14:57:00.000+05:30,android,B00099,B7690,C9420,youtube
41401,2020-11-15T19:22:00.000+05:30,android,B001010,D2469,B13763,youtube
2756,2020-11-15T00:43:00.000+05:30,android,B001058,H4260,I3050,youtube
3077,2020-11-15T00:51:00.000+05:30,android,B001058,H4260,I3050,google
13642,2020-11-15T09:02:00.000+05:30,android,B001061,H6011,C1931,facebook
39586,2020-11-15T18:45:00.000+05:30,android,B001115,D4900,C8621,google
29518,2020-11-15T15:04:00.000+05:30,android,B001152,I8949,I705,youtube
38072,2020-11-15T18:14:00.000+05:30,android,B001220,C3343,B06866,youtube
37191,2020-11-15T17:59:00.000+05:30,android,B001265,I3863,B04035,linkedin
41742,2020-11-15T19:28:00.000+05:30,android,B001338,F22,B18262,linkedin
41728,2020-11-15T19:28:00.000+05:30,android,B001338,F22,B3552,youtube
41985,2020-11-15T19:32:00.000+05:30,android,B001338,F22,B3552,facebook
40920,2020-11-15T19:13:00.000+05:30,android,B001338,F22,B9282,facebook
40583,2020-11-15T19:07:00.000+05:30,android,B001338,F22,H7658,youtube
40735,2020-11-15T19:10:00.000+05:30,android,B001338,F22,H7658,google
40837,2020-11-15T19:11:00.000+05:30,android,B001338,F22,H7658,facebook
42110,2020-11-15T19:33:00.000+05:30,android,B001338,F22,I1394,linkedin
21823,2020-11-15T11:45:00.000+05:30,android,B001339,F0136,D553,youtube
31551,2020-11-15T15:47:00.000+05:30,android,B001385,F5986,B0726,linkedin
31508,2020-11-15T15:46:00.000+05:30,android,B001385,F5986,B13644,google
44506,2020-11-15T20:14:00.000+05:30,android,B0015,B8390,H4902,youtube
44392,2020-11-15T20:12:00.000+05:30,android,B0015,B8390,J3947,facebook
41745,2020-11-15T19:28:00.000+05:30,android,B001597,C5492,B5047,facebook
41810,2020-11-15T19:29:00.000+05:30,android,B001597,C5492,D0694,facebook
42968,2020-11-15T19:45:00.000+05:30,android,B00160,H9120,B13763,youtube
16273,2020-11-15T09:52:00.000+05:30,android,B001658,C4080,B0379,linkedin
